#OTU ID,ZD01,ZD02,ZD03,ZD04,ZG01,ZG02,ZG03,ZG04,ZP01,ZP02,ZP03,ZP04,ZS01,ZS02,ZS03,ZS04,ZW01,ZW02,ZW03,ZW04,Consensus Lineage
Otu801,279,89,137,84,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,4,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_rumicicola
Otu140,0,0,0,0,0,0,0,0,50,52,38,38,13,7,18,21,1,0,2,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Hormonema; s__Hormonema_macrosporum
Otu270,0,0,0,0,0,0,0,0,70,21,40,45,20,35,11,61,1,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phaeomoniella; s__unidentified
Otu247,0,0,0,0,0,0,0,0,34,48,34,30,6,2,22,5,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu99,0,0,0,0,0,0,0,0,2,3,9,0,2,0,2,7,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
Otu199,0,0,0,0,0,0,0,0,3,15,24,8,14,9,2,12,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__unidentified
Otu223,0,0,0,0,0,0,0,0,51,21,55,44,4,1,3,12,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Polyscytalum; s__Polyscytalum_algarvense
Otu49,0,0,0,0,0,0,0,0,11,10,17,31,4,7,9,18,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Microbotryales; f__Microbotryaceae; g__Microbotryum; s__Microbotryum_silybum
Otu62,0,0,0,1,0,0,0,0,365,670,1099,863,59,108,71,298,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified
Otu64,0,0,1,0,0,0,0,0,665,593,550,589,92,227,103,535,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__unidentified; s__unidentified
Otu250,0,0,0,0,0,0,0,0,0,19,38,11,0,0,0,0,11,11,39,33,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu221,0,0,0,0,0,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__unidentified; s__unidentified
Otu532,0,0,0,0,0,0,0,0,2,0,1,6,0,0,1,3,0,0,0,0,k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Cystobasidium; s__Cystobasidium_oligophagum
Otu115,0,0,0,0,0,0,0,0,6,109,193,105,61,35,54,129,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Cadophora; s__unidentified
Otu302,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__unidentified; s__unidentified
Otu169,0,0,0,0,0,0,0,0,0,1,3,2,1,2,1,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu151,0,0,0,0,0,0,0,0,106,181,420,80,33,62,62,153,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu178,0,0,0,0,0,0,0,0,0,7,4,0,14,14,11,24,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Lecythophora; s__unidentified
Otu198,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu403,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,2,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu40,0,0,0,0,0,0,0,0,11,18,20,24,8,7,12,19,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Microbotryomycetes_ord_Incertae_sedis; f__Microbotryomycetes_fam_Incertae_sedis; g__Glaciozyma; s__Glaciozyma_martinii
Otu142,0,0,0,2,0,0,0,0,46,251,99,66,86,34,86,145,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Amphisphaeriaceae; g__Phlogicylindrium; s__unidentified
Otu295,0,0,0,0,0,0,0,0,0,13,7,6,5,8,8,19,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__unidentified
Otu1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora_pleiospora
Otu73,0,0,0,0,0,0,0,0,1,7,2,0,0,1,1,2,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolales_fam_Incertae_sedis; g__Rhodotorula; s__Rhodotorula_nothofagi
Otu213,0,0,0,0,0,0,0,0,1,6,12,6,1,1,1,8,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Carcinomycetaceae; g__Heterocephalacria; s__Heterocephalacria_arrabidensis
Otu102,0,0,0,0,0,0,0,0,1,3,5,1,6,4,6,29,1,2,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
Otu226,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,5,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Tremella; s__Tremella_nivalis
Otu1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu1057,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Tremella; s__Tremella_phaeophysciae
Otu435,0,0,0,0,0,0,0,0,4,2,6,10,2,1,2,3,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cryptotrichosporon; s__Cryptotrichosporon_tibetense
Otu188,0,0,0,0,0,0,0,0,0,1,4,4,3,4,6,12,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Pyrenophora; s__Pyrenophora_tritici-repentis
Otu81,0,0,0,0,0,0,0,0,10,47,223,116,215,309,240,462,0,0,0,0,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Phoma; s__Phoma_polemonii
Otu127,0,0,0,0,0,0,0,0,93,113,115,214,75,70,39,63,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Infundichalara; s__Infundichalara_minuta
Otu572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Phacidiaceae; g__Phacidium; s__Phacidium_grevilleae
Otu172,0,0,0,0,0,0,0,0,28,122,63,132,31,15,8,58,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
Otu1087,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Naohideales; f__Naohideales_fam_Incertae_sedis; g__Naohidea; s__Naohidea_sebacea
Otu477,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_aethiopicum
Otu386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,8,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
Otu391,0,0,0,0,0,0,0,0,3,7,9,52,0,0,2,3,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu92,0,0,0,0,0,0,0,0,30,264,224,162,122,72,148,284,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__unidentified
Otu124,0,0,0,0,0,0,0,0,110,85,160,314,53,16,77,102,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu146,0,0,0,0,0,0,0,0,182,80,122,441,15,12,6,16,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Polyscytalum; s__Polyscytalum_algarvense
Otu79,0,0,0,0,0,0,0,0,282,537,438,571,28,74,64,87,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu133,0,0,0,0,0,0,0,0,0,210,179,232,8,0,18,13,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Rhytismatales; f__Rhytismataceae; g__Coccomyces; s__unidentified
Otu160,0,0,0,0,0,1,0,0,8,1,13,26,6,1,13,20,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Herpotrichia; s__Herpotrichia_juniperi
Otu278,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Phaeotremellaceae; g__Phaeotremella; s__Phaeotremella_fagi
Otu279,0,0,0,0,0,0,0,0,17,25,47,32,11,3,8,10,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidiella; s__Leucosporidiella_muscorum
Otu229,0,0,0,0,0,0,0,0,13,55,92,74,21,30,27,42,26,6,10,9,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_nigra
Otu344,0,0,0,0,0,0,0,0,24,32,5,17,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Rhytismatales; f__Rhytismataceae; g__Elytroderma; s__Elytroderma_deformans
Otu432,0,0,0,0,0,0,0,0,1,13,17,4,3,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Chalara; s__unidentified
Otu419,0,0,0,0,0,0,0,0,0,31,17,12,0,4,1,6,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Leotiomycetes_ord_Incertae_sedis; f__Leotiomycetes_fam_Incertae_sedis; g__Collophora; s__unidentified
Otu1201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_infectoria
Otu181,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Cystofilobasidiaceae; g__Phaffia; s__unidentified
Otu248,0,0,0,0,0,0,0,0,2,56,33,12,6,9,15,42,3,0,1,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__unidentified
Otu77,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0,1,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__unidentified; s__unidentified
Otu1168,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
Otu307,0,0,0,0,0,0,0,0,0,1,7,2,3,1,1,9,0,0,0,0,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu171,0,0,0,0,0,0,0,0,32,141,117,65,25,10,17,53,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Scleropezicula; s__unidentified
Otu421,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,19,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Microbotryomycetes_ord_Incertae_sedis; f__Microbotryomycetes_fam_Incertae_sedis; g__Curvibasidium; s__Curvibasidium_cygneicollum
Otu904,0,0,0,0,0,0,0,0,161,43,10,22,3,0,2,2,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Polyscytalum; s__Polyscytalum_algarvense
Otu433,0,0,0,0,0,0,0,0,4,18,19,20,5,5,10,26,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__unidentified
Otu336,0,0,0,0,0,0,0,0,104,140,203,193,61,29,85,155,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Cadophora; s__unidentified
Otu44,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,2,1063,1704,1162,2765,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Dothideomycetes_fam_Incertae_sedis; g__Ramimonilia; s__Ramimonilia_apicalis
Otu98,0,0,0,0,0,0,0,0,16,102,130,64,87,148,125,346,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Lachnum; s__unidentified
Otu312,0,0,0,0,0,0,0,0,25,29,45,26,7,3,2,14,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Goffeauzyma; s__Goffeauzyma_aciditolerans
Otu376,0,0,0,0,0,0,0,0,1,3,2,1,12,6,16,36,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
Otu319,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Cystobasidium; s__Cystobasidium_pinicola
Otu161,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
Otu186,0,0,0,0,0,0,0,0,46,64,135,73,16,19,31,28,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae; g__Mollisia; s__Mollisia_cinerea
Otu41,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__unidentified; g__unidentified; s__unidentified
Otu957,0,0,0,0,0,0,0,0,2,2,3,1,2,4,0,5,0,0,0,0,k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu651,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
Otu649,0,0,0,0,0,0,0,0,16,10,15,10,1,3,2,3,0,0,0,0,k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Erythrobasidiales; f__Erythrobasidiales_fam_Incertae_sedis; g__Bannoa; s__Bannoa_ogasawarensis
Otu518,0,0,0,0,0,0,0,0,0,9,20,14,5,3,3,6,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__unidentified; s__unidentified
Otu1302,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,2,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu206,0,0,0,0,0,0,0,0,0,9,14,5,7,7,6,16,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
Otu167,0,0,0,0,0,0,0,0,3,40,40,26,42,34,50,157,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Sympoventuriaceae; g__unidentified; s__unidentified
Otu265,0,0,0,0,0,0,0,0,0,0,2,7,4,1,3,7,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Microbotryomycetes_ord_Incertae_sedis; f__Microbotryomycetes_fam_Incertae_sedis; g__Yunzhangia; s__Yunzhangia_auriculariae
Otu308,0,0,0,0,0,0,0,0,2,17,24,18,0,9,10,18,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Chalara; s__unidentified
Otu627,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,1,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricostilbomycetes; o__Agaricostilbales; f__Kondoaceae; g__Kondoa; s__Kondoa_yuccicola
Otu264,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,4,4,6,9,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Naematelia; s__Naematelia_aurantialba
Otu500,0,0,0,0,0,0,0,0,0,19,18,17,0,1,1,2,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified
Otu1472,0,0,0,0,0,0,0,0,2,3,24,3,4,1,3,14,1,1,0,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothideaceae; g__Endoconidioma; s__Endoconidioma_populi
Otu565,0,0,0,0,0,0,0,0,10,19,23,2,4,1,0,1,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__unidentified; s__unidentified
Otu589,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_atrosanguineum
Otu360,0,0,0,0,0,0,0,0,4,1,4,7,2,0,2,5,0,0,0,0,k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,18,11,13,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
Otu995,0,0,0,0,0,0,0,0,0,5,4,2,4,1,3,5,0,0,0,0,k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiomycetes_ord_Incertae_sedis; f__Microsporomycetaceae; g__Microsporomyces; s__Microsporomyces_bloemfonteinensis
Otu117,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,1,16,4,11,13,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu371,0,0,0,0,0,0,0,0,9,9,22,22,2,2,6,11,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Heterogastridiales; f__Heterogastridiaceae; g__Colacogloea; s__Colacogloea_falcata
Otu513,0,0,0,0,0,0,0,0,3,16,15,15,0,0,0,1,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu621,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Tremella; s__Tremella_roseotincta
Otu261,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu1498,0,0,0,0,0,0,0,0,5,0,1,0,2,1,3,2,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
Otu388,0,0,0,0,0,0,0,0,10,12,17,14,5,3,16,37,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Cadophora; s__unidentified
Otu249,0,0,0,0,0,0,0,0,4,9,33,9,7,9,10,21,95,16,38,12,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothideales_fam_Incertae_sedis; g__Celosporium; s__unidentified
Otu496,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,14,15,33,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__unidentified
Otu311,0,0,0,0,0,0,0,0,1,26,50,13,1,3,8,8,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
Otu959,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,6,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Cistella; s__Cistella_acuum
Otu125,0,0,0,0,0,0,0,0,0,248,341,217,58,22,57,146,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Peniophoraceae; g__Peniophora; s__Peniophora_piceae
Otu596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__unidentified; g__unidentified; s__unidentified
Otu459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,12,10,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu578,0,0,0,0,0,0,0,0,2,4,4,12,0,3,0,3,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Heterogastridiales; f__Heterogastridiaceae; g__Colacogloea; s__Colacogloea_falcata
Otu179,0,0,0,0,0,0,0,0,3,10,12,3,8,2,1,61,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Chalara; s__unidentified
Otu961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Piskurozyma; s__Piskurozyma_capsuligena
Otu714,0,0,0,0,0,0,0,0,1,6,1,6,2,0,0,7,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Capronia; s__unidentified
Otu428,0,0,0,0,0,0,0,0,18,10,20,12,0,0,1,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Chalara; s__unidentified
Otu259,0,0,0,0,0,0,0,0,40,59,39,50,4,1,11,11,3,1,3,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Neocatenulostroma; s__Neocatenulostroma_abietis
Otu58,0,0,0,0,0,0,0,1,0,1,1,0,1,2,10,13,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolales_fam_Incertae_sedis; g__Rhodotorula; s__Rhodotorula_nothofagi
Otu529,0,0,0,0,0,0,0,0,0,6,5,3,3,3,2,4,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Leotiomycetes_ord_Incertae_sedis; f__Leotiomycetes_fam_Incertae_sedis; g__Collophora; s__unidentified
Otu135,0,0,0,0,0,0,0,0,1,4,3,0,3,1,2,7,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; g__Brevicellicium; s__Brevicellicium_atlanticum
Otu1054,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
Otu670,0,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,5,2,7,2,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu726,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Sirobasidiaceae; g__Fibulobasidium; s__Fibulobasidium_murrhardtense
Otu561,0,0,0,0,0,0,0,0,6,6,4,8,2,1,4,1,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__unidentified; s__unidentified
Otu243,0,0,0,0,0,0,0,0,34,26,49,83,5,5,6,7,0,0,0,0,k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Teloschistales; f__Teloschistaceae; g__Dufourea; s__Dufourea_angustata
Otu544,0,0,0,0,0,0,0,0,1,2,1,3,2,2,3,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Phaeotremellaceae; g__Phaeotremella; s__Phaeotremella_skinneri
Otu717,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Tremella; s__unidentified
